owner,name,full_name,stars,releases,age_years,ck_class_count,loc_total,cbo_mean,cbo_median,cbo_stdev,dit_mean,dit_median,dit_stdev,lcom_mean,lcom_median,lcom_stdev,loc_mean,loc_median,loc_stdev
code4craft,webmagic,code4craft/webmagic,11691,33,12.96,344,8794,4.532,4.0,3.8661,1.1831,1.0,0.5843,11.4651,1.0,76.5289,25.564,15.0,37.9546
OpenRefine,OpenRefine,OpenRefine/OpenRefine,11801,76,13.48,1408,73894,6.6953,5.0,6.5907,1.6861,1.0,0.8971,13.1491,1.0,59.2011,52.4815,26.0,97.8194
jd-opensource,joyagent-jdgenie,jd-opensource/joyagent-jdgenie,11621,1,0.73,252,9182,4.9802,4.0,5.6375,1.119,1.0,0.4473,4.7341,0.0,17.4764,36.4365,12.0,74.2112
newbee-ltd,newbee-mall,newbee-ltd/newbee-mall,11553,0,6.55,89,3935,5.0337,2.0,6.2106,1.0674,1.0,0.4446,34.9101,4.0,67.7914,44.2135,29.0,42.0328
PaperMC,Paper,PaperMC/Paper,12147,0,10.21,4247,162674,6.9579,5.0,12.1889,1.6819,1.0,1.3036,102.0989,1.0,1610.8254,38.3033,15.0,103.0077
grpc,grpc-java,grpc/grpc-java,11997,189,11.33,5612,264457,5.6522,3.0,8.0241,1.4182,1.0,1.0724,14.2085,0.0,129.5645,47.1235,12.0,124.3767
careercup,CtCI-6th-Edition,careercup/CtCI-6th-Edition,11469,0,10.77,609,21093,2.1281,2.0,1.5652,1.069,1.0,0.3319,4.4828,1.0,16.6844,34.6355,28.0,26.829
realm,realm-java,realm/realm-java,11484,0,13.97,1912,110167,4.2934,2.0,6.7532,1.2129,1.0,0.7241,51.7484,0.0,656.4891,57.6187,9.0,261.0475
gyf-dev,ImmersionBar,gyf-dev/ImmersionBar,11464,0,8.97,142,7237,6.3521,5.0,7.0882,2.1056,2.0,0.9979,159.2535,3.0,1746.3382,50.9648,19.0,150.7371
jhy,jsoup,jhy/jsoup,11359,21,16.31,439,39527,6.1207,4.0,7.1795,1.7654,1.0,3.0645,229.3554,1.0,1825.8519,90.0387,27.0,221.8899
mission-peace,interview,mission-peace/interview,11328,0,11.72,667,27259,2.0135,2.0,1.2213,1.0375,1.0,0.3099,3.4093,1.0,13.5476,40.8681,35.0,33.3525
ssssssss-team,spider-flow,ssssssss-team/spider-flow,11322,2,6.04,161,8748,5.3851,4.0,5.1536,1.7329,1.0,3.3912,20.3292,1.0,49.6303,54.3354,29.0,104.8024
langchain4j,langchain4j,langchain4j/langchain4j,11543,62,2.81,4389,185125,6.2331,4.0,7.0131,1.2073,1.0,0.6178,20.7298,1.0,94.4401,42.1793,19.0,67.6372
permissions-dispatcher,PermissionsDispatcher,permissions-dispatcher/PermissionsDispatcher,11192,40,10.65,119,3184,1.6218,0.0,3.2694,1.2269,1.0,0.5256,34.3782,3.0,325.8157,26.7563,11.0,96.7174
