owner,name,full_name,stars,releases,age_years,ck_class_count,loc_total,cbo_mean,cbo_median,cbo_stdev,dit_mean,dit_median,dit_stdev,lcom_mean,lcom_median,lcom_stdev,loc_mean,loc_median,loc_stdev
junit-team,junit4,junit-team/junit4,8539,13,17.24,1471,32946,3.8681,3.0,4.1865,1.4643,1.0,1.05,12.9613,0.0,130.4949,22.397,8.0,45.7996
wildfirechat,im-server,wildfirechat/im-server,8476,115,7.21,1036,161392,6.4527,3.0,8.3343,1.5463,1.0,2.4953,112.3041,1.0,470.2728,155.7838,22.0,1513.7472
DImuthuUpe,AndroidPdfViewer,DImuthuUpe/AndroidPdfViewer,8460,0,9.85,57,3325,4.8596,1.0,8.0403,1.2456,1.0,0.6006,76.7719,0.0,436.5925,58.3333,10.0,143.2102
apache,iceberg,apache/iceberg,8713,32,7.39,4865,337158,8.6253,6.0,8.4569,1.6909,1.0,1.6857,37.134,1.0,178.1815,69.3028,31.0,109.0451
roughike,BottomBar,roughike/BottomBar,8377,4,10.07,66,2834,4.9091,2.0,6.7817,1.2879,1.0,0.622,61.6667,0.0,329.5069,42.9394,6.0,110.9362
hs-web,hsweb-framework,hs-web/hsweb-framework,8400,32,10.23,858,26153,6.1725,4.0,6.1805,1.3485,1.0,1.0971,11.5291,0.0,41.0915,30.4814,11.5,63.5079
bytedeco,javacv,bytedeco/javacv,8306,14,11.97,223,26976,6.1256,4.0,6.7553,2.13,1.0,1.919,134.8475,1.0,707.94,120.9686,48.0,188.7961
LaurieWired,GhidraMCP,LaurieWired/GhidraMCP,8301,5,1.05,3,1219,16.3333,4.0,20.3361,1.6667,2.0,0.4714,459.0,3.0,647.0039,406.3333,14.0,556.9658
alibaba,transmittable-thread-local,alibaba/transmittable-thread-local,8284,58,12.49,155,6932,5.5871,5.0,3.7205,1.4323,1.0,1.0897,12.3548,1.0,38.1372,44.7226,23.0,66.0863
krahets,LeetCode-Book,krahets/LeetCode-Book,8224,0,4.31,493,5690,1.2921,1.0,0.9229,1.002,1.0,0.045,0.073,0.0,0.4753,11.5416,9.0,7.8488
apache,shardingsphere-elasticjob,apache/shardingsphere-elasticjob,8219,31,10.58,596,15593,5.4631,4.0,5.0717,1.1544,1.0,0.5013,3.193,0.0,12.5546,26.1628,13.0,34.9616
spring-projects,spring-ai,spring-projects/spring-ai,8474,19,2.78,3874,179022,6.9899,5.0,7.6704,1.2073,1.0,0.9227,28.1951,1.0,355.2428,46.2112,18.0,81.6181
aritraroy,UltimateAndroidReference,aritraroy/UltimateAndroidReference,8158,0,9.0,1,22,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,22.0,22.0,0.0
alibaba,atlas,alibaba/atlas,8159,7,9.11,2194,157514,5.6386,4.0,6.7181,1.4357,1.0,0.9171,29.8842,1.0,157.4525,71.7931,22.0,305.6371
alibaba,otter,alibaba/otter,8131,10,12.67,1296,68163,4.5949,3.0,5.3315,1.4537,1.0,0.9151,32.4545,1.0,252.446,52.5949,21.0,179.9845
aosp-mirror,platform_frameworks_base,aosp-mirror/platform_frameworks_base,10824,0,17.46,39021,4165269,7.312,4.0,11.2109,1.7263,1.0,26.2674,2199.6509,0.0,32140.1817,106.7443,23.0,370.5132
florent37,MaterialViewPager,florent37/MaterialViewPager,8100,11,10.96,44,1616,4.5455,3.0,4.7885,1.2955,1.0,0.5469,9.3864,0.0,26.1796,36.7273,16.0,63.729
guolindev,LitePal,guolindev/LitePal,8079,0,13.13,201,11830,5.01,3.0,5.1495,1.6517,1.0,0.9558,49.4478,0.0,248.25,58.8557,17.0,105.5863
junixapp,XPopup,junixapp/XPopup,8023,221,7.34,305,12348,4.7049,3.0,6.3104,1.577,1.0,1.1256,22.9016,0.0,135.655,40.4852,11.0,88.8007
davemorrissey,subsampling-scale-image-view,davemorrissey/subsampling-scale-image-view,8005,21,12.62,72,4262,5.625,3.5,6.5732,1.5833,1.0,0.878,79.7222,0.0,636.5521,59.1944,14.5,241.8193
gunnarmorling,1brc,gunnarmorling/1brc,7996,0,2.28,600,53431,3.1667,3.0,2.473,1.09,1.0,0.3811,7.58,1.0,23.5073,89.0517,43.0,106.2048
apache,tomcat,apache/tomcat,8136,0,14.52,4756,361158,4.5444,3.0,5.8755,1.8198,1.0,1.6642,182.4296,0.0,4458.1453,75.9373,22.0,195.1302
facebook,buck,facebook/buck,8555,57,12.98,10758,503616,7.0893,5.0,8.7303,1.3661,1.0,0.9762,26.1811,1.0,225.1388,46.8132,18.0,97.0068
JakeWharton,hugo,JakeWharton/hugo,7909,0,12.37,7,384,5.7143,7.0,3.9175,1.1429,1.0,0.3499,27.7143,6.0,40.2943,54.8571,59.0,46.5386
jeecgboot,jimureport,jeecgboot/jimureport,7905,33,6.35,12,350,6.1667,5.0,3.8909,1.0,1.0,0.0,2.5,1.0,3.9051,29.1667,20.5,18.6317
Netflix,SimianArmy,Netflix/SimianArmy,7980,4,13.76,305,16056,5.8459,4.0,7.3014,1.423,1.0,0.7734,25.1607,3.0,111.8217,52.6426,26.0,75.1285
apache,beam,apache/beam,8545,57,10.18,16514,751450,7.4784,5.0,8.2149,1.5288,1.0,1.3831,20.4692,0.0,175.8193,45.5038,16.0,99.8903
HannahMitt,HomeMirror,HannahMitt/HomeMirror,7826,0,10.63,66,1719,2.7273,2.0,4.9068,1.0758,1.0,0.2646,5.3485,0.0,35.1342,26.0455,11.5,43.7137
exadel-inc,CompreFace,exadel-inc/CompreFace,7874,11,5.76,333,7766,7.8529,6.0,7.314,1.6577,1.0,1.3277,3.8949,0.0,16.0256,23.3213,8.0,39.3369
dropwizard,metrics,dropwizard/metrics,7849,142,16.11,732,30088,5.526,4.0,4.6333,1.3675,1.0,0.8065,9.1407,0.0,38.1715,41.1038,20.0,60.6227
ChrisRM,material-theme-jetbrains,ChrisRM/material-theme-jetbrains,7762,17,10.55,357,14517,4.3305,3.0,4.9363,2.2549,2.0,1.4473,84.423,1.0,633.5332,40.6639,12.0,84.9488
AntennaPod,AntennaPod,AntennaPod/AntennaPod,7793,65,13.69,858,55136,7.5513,5.0,9.0891,1.486,1.0,0.7936,20.8485,1.0,102.1466,64.2611,28.0,107.7314
Tencent,Shadow,Tencent/Shadow,7748,5,6.83,674,21909,4.2463,3.0,4.1211,1.7849,1.0,1.0575,17.3323,0.0,94.7328,32.5059,12.0,57.3126
pentaho,pentaho-kettle,pentaho/pentaho-kettle,8329,1,12.5,11362,792426,6.0496,2.0,9.2443,1.2817,1.0,0.6164,81.9173,0.0,1226.3948,69.7435,11.0,197.4234
lecho,hellocharts-android,lecho/hellocharts-android,7680,14,11.49,153,10995,6.4248,4.0,6.5726,1.6667,1.0,0.9003,40.2941,1.0,149.5832,71.8627,41.0,93.0243
goldze,MVVMHabit,goldze/MVVMHabit,7707,3,8.72,319,9110,3.5831,2.0,3.8202,1.2727,1.0,0.6512,15.7649,0.0,73.9389,28.558,8.0,55.7392
trello-archive,RxLifecycle,trello-archive/RxLifecycle,7668,22,10.72,81,2368,6.4321,6.0,6.1261,1.6543,1.0,1.1349,1.4074,0.0,4.0392,29.2346,24.0,25.8148
PowerJob,PowerJob,PowerJob/PowerJob,7722,51,6.07,755,24684,5.7457,4.0,6.2125,1.1841,1.0,0.5464,5.1377,0.0,27.9182,32.694,14.0,62.0231
FongMi,TV,FongMi/TV,7725,0,3.8,651,30986,6.8694,4.0,8.8601,1.4209,1.0,0.6975,107.149,1.0,692.597,47.5975,18.0,101.1313
vipshop,vjtools,vipshop/vjtools,7650,9,7.87,379,18382,3.1346,2.0,3.4687,1.277,1.0,0.7617,26.3008,1.0,106.6654,48.5013,26.0,68.0024
MuntashirAkon,AppManager,MuntashirAkon/AppManager,7785,76,5.86,1581,128612,7.9285,5.0,9.1493,1.4744,1.0,0.7495,73.871,1.0,1033.9873,81.3485,31.0,145.783
google,android-classyshark,google/android-classyshark,7586,17,10.49,212,8714,3.1698,2.0,3.5581,1.2783,1.0,0.9229,10.25,1.0,27.5038,41.1038,16.5,60.3762
Genymobile,gnirehtet,Genymobile/gnirehtet,7537,12,9.16,81,4330,3.7654,2.0,3.5738,1.1852,1.0,0.5238,14.2963,1.0,35.0331,53.4568,40.0,63.7017
gedoor,MyBookshelf,gedoor/MyBookshelf,7625,165,7.83,669,48375,6.3363,4.0,7.7297,1.4694,1.0,0.8839,58.6622,1.0,338.3572,72.3094,18.0,198.0546
koush,AndroidAsync,koush/AndroidAsync,7551,0,13.63,543,18086,3.6133,2.0,5.018,1.5322,1.0,1.7449,19.4401,0.0,84.0328,33.3076,8.0,74.4131
kaushikgopal,RxJava-Android-Samples,kaushikgopal/RxJava-Android-Samples,7520,0,11.72,86,2633,6.6279,3.0,7.1105,1.8256,1.0,0.9547,9.1977,3.0,25.201,30.6163,13.5,34.0472
kevin-wayne,algs4,kevin-wayne/algs4,7525,0,10.61,279,22522,4.0036,4.0,2.5023,1.0215,1.0,0.168,47.4695,0.0,263.0454,80.724,57.0,96.276
yuanguangxin,LeetCode,yuanguangxin/LeetCode,7487,0,6.25,145,3441,1.2414,1.0,0.6672,1.0,1.0,0.0,0.8414,0.0,2.3184,23.731,20.0,16.9967
lenve,VBlog,lenve/VBlog,7432,0,8.29,29,781,4.5517,4.0,3.5582,1.0345,1.0,0.1825,29.069,1.0,91.2265,26.931,16.0,27.3117
MinecraftForge,MinecraftForge,MinecraftForge/MinecraftForge,7577,0,14.19,1484,56657,7.4218,6.0,10.2799,1.5721,1.0,1.2878,32.6914,1.0,368.5645,38.1786,18.5,63.1202
dependency-check,DependencyCheck,dependency-check/DependencyCheck,7489,91,13.6,514,42006,6.9553,5.0,7.3334,1.8327,2.0,0.9938,63.9611,3.0,349.6422,81.7237,40.5,138.894
dyc87112,SpringCloud-Learning,dyc87112/SpringCloud-Learning,7393,0,9.63,312,13492,5.8782,4.0,5.8324,1.0449,1.0,0.2617,28.734,1.0,87.6372,43.2436,21.5,59.0684
swagger-api,swagger-core,swagger-api/swagger-core,7521,131,14.76,1622,46975,4.6788,3.0,6.7924,1.2269,1.0,0.6333,49.7719,0.0,735.1039,28.9612,8.0,117.9107
abel533,Mapper,abel533/Mapper,7389,11,11.38,464,19455,5.0862,4.0,4.6318,1.2435,1.0,0.5283,36.2371,0.0,176.3717,41.9289,16.0,74.969
leolin310148,ShortcutBadger,leolin310148/ShortcutBadger,7338,0,12.4,31,885,5.2903,5.0,4.5166,1.1613,1.0,0.447,3.4839,1.0,7.4091,28.5484,16.0,31.9484
Qihoo360,RePlugin,Qihoo360/RePlugin,7348,19,8.84,456,30275,5.1886,3.0,6.2534,1.4167,1.0,0.6767,32.0197,0.0,182.6236,66.3925,22.5,114.0591
square,dagger,square/dagger,7299,0,13.68,406,8043,3.1749,3.0,2.943,1.2291,1.0,0.7152,5.9877,0.0,45.3069,19.8103,5.0,53.8118
zhongyi-tong,WeChatLuckyMoney,zhongyi-tong/WeChatLuckyMoney,7241,20,10.53,21,931,5.381,3.0,4.9998,1.381,1.0,0.4856,8.8095,1.0,17.9805,44.3333,21.0,58.577
Bearded-Hen,Android-Bootstrap,Bearded-Hen/Android-Bootstrap,7249,5,12.44,79,10389,6.962,3.0,8.2684,1.6709,1.0,0.8527,31.3924,2.0,77.3965,131.5063,23.0,418.6818
mapstruct,mapstruct,mapstruct/mapstruct,7642,36,13.87,4805,103911,3.8314,2.0,4.9025,1.1717,1.0,0.601,11.189,0.0,73.6556,21.6256,9.0,48.8768
crazycodeboy,TakePhoto,crazycodeboy/TakePhoto,7236,15,10.68,55,2403,5.0545,2.0,5.757,1.2545,1.0,0.5467,10.8909,1.0,22.3742,43.6909,28.0,60.8156
pedant,sweet-alert-dialog,pedant/sweet-alert-dialog,7227,2,11.47,16,943,4.375,1.5,5.3604,1.25,1.0,0.433,31.0625,0.0,86.1252,58.9375,23.0,78.2747
Exrick,xmall,Exrick/xmall,7237,0,8.7,316,45293,4.3101,3.0,5.4056,1.1614,1.0,0.4163,632.8291,13.0,2866.385,143.3323,42.5,233.4171
NanoHttpd,nanohttpd,NanoHttpd/nanohttpd,7213,3,13.66,144,7106,4.3403,3.0,4.3464,1.7917,1.0,1.5585,22.1597,1.0,87.9622,49.3472,21.0,83.4434
cymcsg,UltimateRecyclerView,cymcsg/UltimateRecyclerView,7191,9,11.2,382,16083,5.2147,3.0,6.0384,1.6937,1.0,1.0819,41.3927,0.0,267.9656,42.1021,13.0,99.0876
enso-org,enso,enso-org/enso,7430,724,9.31,2750,129832,6.4385,5.0,6.707,1.6833,1.0,1.3355,36.5535,1.0,350.939,47.2116,23.0,76.039
Graylog2,graylog2-server,Graylog2/graylog2-server,8001,0,15.9,7854,271691,8.2227,6.0,9.0687,1.3308,1.0,0.7101,18.3254,1.0,103.1462,34.5927,16.0,66.5804
didi,KnowStreaming,didi/KnowStreaming,7176,23,6.06,934,31517,7.1959,4.0,8.048,1.8191,1.0,1.0933,10.3223,0.0,44.5877,33.7441,12.0,64.6987
wiremock,wiremock,wiremock/wiremock,7197,52,14.5,1846,78052,5.9919,4.0,7.0025,1.4171,1.0,1.1135,69.9231,1.0,797.963,42.2817,19.0,71.8576
google,agera,google/agera,7135,16,10.31,290,10897,6.3276,4.0,6.6742,1.2414,1.0,0.5353,14.8448,0.0,106.311,37.5759,13.0,69.0274
h2pl,JavaTutorial,h2pl/JavaTutorial,7125,1,7.94,3,14,0.3333,0.0,0.4714,1.0,1.0,0.0,0.3333,0.0,0.4714,4.6667,6.0,1.8856
gocd,gocd,gocd/gocd,7387,87,12.32,5280,257341,7.5049,5.0,9.1468,1.2777,1.0,0.7539,34.4979,1.0,319.8744,48.7388,22.0,87.1398
apache,hertzbeat,apache/hertzbeat,7161,7,4.18,1722,81566,7.122,5.0,6.8497,1.248,1.0,1.3715,13.0319,0.0,57.9382,47.367,20.0,101.81
CoderLeixiaoshuai,java-eight-part,CoderLeixiaoshuai/java-eight-part,7086,0,5.48,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rest-assured,rest-assured,rest-assured/rest-assured,7124,0,15.47,706,28974,5.1714,4.0,5.8526,1.211,1.0,0.5236,105.8683,1.0,577.4832,41.0397,14.0,75.7737
ogaclejapan,SmartTabLayout,ogaclejapan/SmartTabLayout,7083,0,11.15,45,1912,6.3556,4.0,5.7122,1.6444,1.0,0.9697,9.7111,1.0,27.5799,42.4889,27.0,68.4432
traccar,traccar,traccar/traccar,7156,69,13.98,1834,69487,5.615,4.0,4.5758,1.9242,2.0,0.8244,6.0038,0.0,48.2568,37.8882,13.0,79.7787
JakeWharton,ActionBarSherlock,JakeWharton/ActionBarSherlock,7069,32,15.09,427,26463,6.1265,4.0,7.0537,1.9719,1.0,1.5038,63.3981,0.0,263.9693,61.9742,18.0,129.5583
mrniko,netty-socketio,mrniko/netty-socketio,7025,19,14.24,176,6758,4.8239,3.0,6.5129,1.2557,1.0,0.5513,32.1023,0.0,249.3608,38.3977,15.0,60.8468
naman14,Timber,naman14/Timber,7051,5,10.83,453,21859,5.3996,3.0,6.6725,1.4614,1.0,0.8146,19.7483,0.0,171.665,48.2539,14.0,134.0572
NLPchina,elasticsearch-sql,NLPchina/elasticsearch-sql,7020,302,11.63,277,33009,9.5812,6.0,19.6859,2.0794,1.0,1.4964,189.5235,1.0,1267.8889,119.1661,39.0,473.6045
DroidPluginTeam,DroidPlugin,DroidPluginTeam/DroidPlugin,6974,2,10.62,786,22301,3.3028,2.0,5.1829,4.388,3.0,8.0335,3.6997,0.0,23.3136,28.3728,5.0,96.8482
Col-E,Recaf,Col-E/Recaf,7100,170,8.7,1666,79406,8.4382,6.0,8.9292,1.5822,1.0,0.9791,27.2953,1.0,171.3001,47.6627,19.0,82.6866
google,error-prone,google/error-prone,7154,65,11.63,3053,107258,7.9702,5.0,14.1252,1.5532,1.0,1.1069,27.2254,0.0,344.651,35.132,17.0,62.3291
alibaba,jvm-sandbox,alibaba/jvm-sandbox,6955,13,8.68,435,14407,3.4828,2.0,4.3982,1.3264,1.0,0.8272,12.3609,0.0,57.5292,33.1195,12.0,58.2857
Alluxio,alluxio,Alluxio/alluxio,7182,61,13.3,4027,252449,6.9066,5.0,8.3664,1.4835,1.0,1.4851,30.6588,1.0,238.1432,62.6891,30.0,120.2985
macrozheng,springcloud-learning,macrozheng/springcloud-learning,6922,0,6.59,225,5631,4.8844,3.0,4.9991,1.0222,1.0,0.1474,85.8756,0.0,844.7643,25.0267,6.0,80.3533
rabbitmq,rabbitmq-tutorials,rabbitmq/rabbitmq-tutorials,6882,0,15.55,51,1586,4.5882,4.0,2.6359,1.0,1.0,0.0,2.1961,1.0,3.9854,31.098,21.0,51.3062
smuyyh,BookReader,smuyyh/BookReader,6886,0,9.68,699,30914,4.7825,2.0,6.5253,1.4378,1.0,0.813,25.3233,0.0,161.7424,44.226,13.0,138.6489
Meituan-Dianping,walle,Meituan-Dianping/walle,6863,1,9.25,94,4633,3.1489,2.0,4.058,1.1915,1.0,0.7187,8.6915,0.5,23.3598,49.2872,21.0,90.963
CeuiLiSA,Pixiv-Shaft,CeuiLiSA/Pixiv-Shaft,6893,128,7.03,1064,38041,4.8788,3.0,6.0416,1.4436,1.0,1.109,25.516,0.0,272.367,35.7528,12.0,71.1889
getActivity,AndroidProject,getActivity/AndroidProject,6865,18,7.46,367,21674,7.9155,5.0,8.5608,2.2534,1.0,1.7449,19.8529,1.0,57.7782,59.0572,21.0,95.4565
hongyangAndroid,okhttputils,hongyangAndroid/okhttputils,6855,0,10.65,70,1961,3.7286,2.5,4.0211,1.4571,1.0,0.6478,6.2,0.0,16.6601,28.0143,12.0,36.8024
zo0r,react-native-push-notification,zo0r/react-native-push-notification,6789,35,10.32,29,1884,6.3103,4.0,6.7574,1.2414,1.0,0.4279,15.4828,0.0,49.3765,64.9655,21.0,127.1875
junit-team,junit-framework,junit-team/junit-framework,6995,107,11.24,3588,103413,4.7163,3.0,5.5198,1.2982,1.0,0.9744,35.7104,0.0,734.3589,28.8219,10.0,68.0056
648540858,wvp-GB28181-pro,648540858/wvp-GB28181-pro,6793,2,5.4,792,49874,8.2715,5.0,10.1898,1.2891,1.0,0.528,34.1023,0.0,175.1728,62.9722,23.0,125.147
logisim-evolution,logisim-evolution,logisim-evolution/logisim-evolution,6973,32,11.56,1957,168706,6.0491,4.0,6.4305,2.4231,2.0,2.5325,29.1237,1.0,126.5886,86.2064,37.0,134.178
guardianproject,haven,guardianproject/haven,6787,37,9.11,79,4561,6.8228,4.0,7.2823,1.3924,1.0,0.5828,11.7722,1.0,39.5122,57.7342,24.0,90.1931
527515025,springBoot,527515025/springBoot,6775,0,9.42,264,6250,5.0871,4.0,4.4206,1.1477,1.0,0.414,15.4962,0.0,70.5957,23.6742,14.5,39.0162
fuzhengwei,itstack-demo-design,fuzhengwei/itstack-demo-design,6774,0,5.89,215,3992,2.1674,2.0,2.2762,1.107,1.0,0.3238,5.3256,0.0,12.4469,18.5674,14.0,18.6984
gzu-liyujiang,AndroidPicker,gzu-liyujiang/AndroidPicker,6772,58,10.47,239,13541,5.4351,3.0,6.8525,1.6444,1.0,1.2622,51.7155,0.0,331.2698,56.6569,12.0,113.9149
markzhai,AndroidPerformanceMonitor,markzhai/AndroidPerformanceMonitor,6732,0,10.23,54,2234,4.0741,3.0,3.9056,1.2778,1.0,0.5241,14.0741,0.0,36.9027,41.3704,19.5,53.8253
raphw,byte-buddy,raphw/byte-buddy,6800,313,12.37,6240,291974,6.1348,4.0,8.0562,1.6309,1.0,2.0139,15.2109,0.0,291.2703,46.7907,13.0,187.4331
Meituan-Dianping,Leaf,Meituan-Dianping/Leaf,6738,0,7.33,40,1305,3.475,1.5,4.1952,1.425,1.0,1.0219,11.25,0.0,34.6177,32.625,9.5,51.374
Suwayomi,Suwayomi-Server,Suwayomi/Suwayomi-Server,6754,58,5.29,412,41481,5.5485,2.0,10.4014,1.6189,1.0,1.4674,1495.5218,1.0,21572.1883,100.682,18.0,258.69
getActivity,XXPermissions,getActivity/XXPermissions,6717,75,7.82,161,8625,7.4224,5.0,7.1468,1.6708,1.0,0.9443,105.3043,1.0,970.1906,53.5714,16.0,115.2228
zouzg,mybatis-generator-gui,zouzg/mybatis-generator-gui,6704,16,9.92,39,3047,7.1795,5.0,7.7124,1.4872,1.0,0.6745,69.9487,3.0,251.8226,78.1282,40.0,91.9451
hongyangAndroid,AndroidAutoLayout,hongyangAndroid/AndroidAutoLayout,6674,0,10.39,78,2370,5.8333,5.0,4.6227,2.0,2.0,0.698,8.8077,8.0,16.2655,30.3846,27.0,25.1835
quartz-scheduler,quartz,quartz-scheduler/quartz,6712,8,10.09,506,35394,5.5791,3.0,6.3959,1.4545,1.0,0.8475,124.5791,1.0,819.3802,69.9486,24.5,178.5837
yanzhenjie,AndPermission,yanzhenjie/AndPermission,6643,0,9.58,168,4486,3.994,3.0,3.6556,1.1667,1.0,0.3727,7.4881,0.0,35.1566,26.7024,13.0,50.7452
Angel-ML,angel,Angel-ML/angel,6787,20,8.96,1938,207142,7.4278,5.0,9.9766,1.7466,2.0,0.8758,63.4309,0.0,598.8144,106.8844,34.0,499.9556
JesusFreke,smali,JesusFreke/smali,6624,0,13.54,1152,46762,6.0182,4.0,8.3401,1.6667,1.0,1.2486,15.0165,1.0,85.6621,40.592,17.0,89.1714
GrenderG,Toasty,GrenderG/Toasty,6594,19,9.22,16,487,4.0625,3.0,4.0538,1.0625,1.0,0.2421,56.625,0.0,207.0797,30.4375,5.5,63.3453
pig-mesh,pig,pig-mesh/pig,6607,20,6.62,383,7667,6.9556,5.0,6.4513,1.3081,1.0,0.5818,5.3003,0.0,53.3386,20.0183,12.0,27.9195
apache,zeppelin,apache/zeppelin,6612,0,11.04,2106,190534,5.5888,3.0,7.104,1.2569,1.0,0.6602,43.3989,1.0,343.9268,90.472,30.0,584.8787
NLPchina,ansj_seg,NLPchina/ansj_seg,6537,3,13.59,218,12130,6.3165,4.0,5.8503,1.1881,1.0,0.4352,9.578,0.0,42.5702,55.6422,28.0,69.5499
freeok,so-novel,freeok/so-novel,6520,54,3.88,84,3198,5.8571,4.5,5.2466,1.1786,1.0,0.467,3.1071,0.0,6.4826,38.0714,28.5,34.7466
nayuki,QR-Code-generator,nayuki/QR-Code-generator,6511,5,9.98,19,1823,3.9474,3.0,3.5611,1.4211,1.0,1.2276,19.5789,1.0,25.5885,95.9474,60.0,100.4822
ximsfei,Android-skin-support,ximsfei/Android-skin-support,6521,0,9.24,405,19377,6.079,5.0,5.0306,1.3926,1.0,0.7313,17.6716,1.0,68.3384,47.8444,23.0,74.9329
Javen205,IJPay,Javen205/IJPay,6446,24,8.94,273,14136,5.5897,5.0,10.4745,1.37,1.0,0.5794,139.4029,0.0,1330.1711,51.7802,20.0,112.2158
apache,storm,apache/storm,6680,9,12.43,4419,363204,5.3625,3.0,6.7857,1.222,1.0,0.752,49.1009,1.0,430.7243,82.1914,27.0,713.3731
processing,processing,processing/processing,6491,48,13.2,922,110008,3.6757,2.0,5.8741,1.6247,1.0,1.965,507.7614,0.0,7171.2205,119.3145,14.0,455.1472
jetlinks,jetlinks-community,jetlinks/jetlinks-community,6439,21,6.27,1857,61140,7.9106,6.0,7.5155,1.2676,1.0,0.5352,11.8498,1.0,42.6246,32.9241,16.0,52.4246
gephi,gephi,gephi/gephi,6437,19,14.47,2489,135564,4.6179,3.0,5.1114,1.6689,1.0,1.6591,29.4552,1.0,173.9216,54.4652,19.0,103.9552
ArthurHub,Android-Image-Cropper,ArthurHub/Android-Image-Cropper,6428,32,11.23,40,4655,7.725,4.0,9.3005,1.375,1.0,0.5333,70.375,0.0,233.7559,116.375,21.0,197.8891
vinc3m1,RoundedImageView,vinc3m1/RoundedImageView,6417,19,13.13,15,1265,8.4,9.0,6.2161,1.8,2.0,0.7483,107.4667,0.0,264.5403,84.3333,35.0,134.8899
wxiaoqi,Spring-Cloud-Platform,wxiaoqi/Spring-Cloud-Platform,6426,3,8.88,177,6014,4.791,3.0,5.0103,1.4068,1.0,0.8258,57.6497,0.0,210.6429,33.9774,17.0,44.9993
AsyncHttpClient,async-http-client,AsyncHttpClient/async-http-client,6407,12,15.09,594,33502,6.0741,4.0,6.9373,1.4933,1.0,0.8272,49.4158,1.0,294.3043,56.4007,21.5,100.1585
jOOQ,jOOQ,jOOQ/jOOQ,6694,122,14.98,3372,228085,9.8063,7.0,18.0257,1.8218,1.0,3.078,1679.7284,3.0,43341.096,67.6409,15.0,299.0014
graphhopper,graphhopper,graphhopper/graphhopper,6400,46,14.14,1395,103590,6.7677,4.0,8.6686,1.2616,1.0,0.6855,31.7369,0.0,162.9804,74.2581,27.0,169.3223
iflytek,astron-rpa,iflytek/astron-rpa,6397,5,0.55,976,39850,5.5615,3.0,8.5745,1.1383,1.0,0.425,38.1957,0.0,231.7949,40.8299,11.0,117.705
vespa-engine,vespa,vespa-engine/vespa,6869,271,9.85,11406,608905,6.0936,4.0,7.3798,1.6213,1.0,1.5326,40.3782,1.0,325.0282,53.3846,23.0,94.3648
joelittlejohn,jsonschema2pojo,joelittlejohn/jsonschema2pojo,6370,67,12.8,267,13773,6.6367,5.0,5.8757,1.161,1.0,0.4975,46.5393,0.0,267.9201,51.5843,28.0,62.974
aa112901,remusic,aa112901/remusic,6381,0,10.05,845,47786,5.1905,3.0,6.4272,1.4533,1.0,0.8078,41.6462,0.0,345.4678,56.5515,17.0,146.1948
DerekYRC,mini-spring,DerekYRC/mini-spring,6356,1,5.39,151,2509,3.4238,2.0,3.5518,1.2185,1.0,0.6601,5.0861,0.0,20.3561,16.6159,8.0,23.1779
apache,flink-cdc,apache/flink-cdc,6388,24,5.7,2125,133542,8.4325,5.0,9.3433,1.4541,1.0,0.8825,28.5238,1.0,115.4101,62.8433,30.0,93.2677
wasabeef,richeditor-android,wasabeef/richeditor-android,6349,0,11.03,43,804,2.4186,2.0,2.5721,1.1395,1.0,0.4081,46.9535,0.0,302.2915,18.6977,5.0,58.6041
amitshekhariitbhu,from-java-to-kotlin,amitshekhariitbhu/from-java-to-kotlin,6335,0,8.89,2,37,0.5,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,18.5,18.5,16.5
sshahine,JFoenix,sshahine/JFoenix,6340,0,10.59,425,24546,6.92,4.0,6.9308,1.6235,1.0,0.9601,22.0847,1.0,88.4276,57.7553,21.0,99.1875
lightbend,config,lightbend/config,6297,4,14.34,200,13237,5.485,3.0,7.1393,2.055,1.0,4.3626,76.245,0.0,398.3433,66.185,17.0,125.3568
loks666,get_jobs,loks666/get_jobs,6260,3,2.09,120,9790,5.225,2.0,6.6926,1.0,1.0,0.0,33.3167,0.0,145.4703,81.5833,9.5,195.425
koush,ion,koush/ion,6257,0,12.88,289,9443,4.5363,3.0,6.0995,1.4602,1.0,1.4621,23.5986,0.0,205.4736,32.6747,11.0,72.0788
micronaut-projects,micronaut-core,micronaut-projects/micronaut-core,6399,356,8.09,5172,184453,5.7026,4.0,7.1454,1.3105,1.0,0.9062,35.9265,0.0,411.0141,35.6638,12.0,94.2562
graphql-java,graphql-java,graphql-java/graphql-java,6234,101,10.76,1361,73132,8.3439,5.0,10.7809,1.3666,1.0,0.9374,36.3733,1.0,206.0287,53.734,21.0,114.3139
auth0,java-jwt,auth0/java-jwt,6215,46,12.09,86,8924,5.6628,3.5,5.4509,1.6279,1.0,1.3123,142.7442,1.0,528.3471,103.7674,32.5,174.4898
ityouknow,spring-cloud-examples,ityouknow/spring-cloud-examples,6212,0,8.95,60,390,3.8333,4.0,1.0672,1.0167,1.0,0.128,0.4667,0.0,2.0854,6.5,5.0,5.8009
